Total,AccLB,InAccLB,AccSP,InAccSP
40.9,0.9,0.5,34.6,4.9
26.9,0.9,1.1,22.3,2.6
16,0.8,0.6,11.3,3.3
38.4,1.4,2.2,26.9,7.9
29.5,1.4,1.5,25.1,1.5
40.7,1.3,1.4,36.4,1.7
14.6,0.2,0.4,10.9,3
38,1.5,1.1,31.3,4
31.5,0.8,0.1,27.7,2.8
30.3,1.7,0.9,23.6,4.1
10.3,0.1,0.1,7.6,2.4
15.2,0.1,0.4,12.5,2.2
33.6,0.6,1.6,29.4,2
20.1,1.2,1.3,15.5,2.1
16.1,0.3,0.7,11.8,3.3
30.5,3.5,7,20,-
48.5,1.3,1.6,43.2,2.4
8.5,-,-,6.6,1.8
9.4,0.3,0.3,6.7,2.1
7.5,-,0.1,4.8,2.6
3.9,-,-,3.2,0.7
16,0.5,0.7,12,2.8
23,0.7,0.9,18.8,2.6
6,-,1,2,3
50.3,4,3.3,38.7,4.2
23.8,1.2,0.9,17.9,3.8
14.2,0.3,0.2,11.7,2
23.7,1,1,20.7,1
19.8,0.4,0.2,16.4,2.7
21.4,0.6,0.1,18.9,1.9
24.4,3.3,7.1,13.8,0.2
13.7,0.3,1,11.3,1
20.6,1.9,0.4,17,1.2
28.4,1.3,1.6,22.7,2.8
25.4,4.8,8.3,12.1,0.2
12.4,0.1,-,10.9,1.4
17.5,0.5,1.3,12.4,3.3
4.9,0.1,-,3.5,1.4
30.2,2.3,1.5,23.2,3.2
19.5,3.8,7.8,7.7,0.2
13.7,0.1,0.5,10.2,2.9
17,-,1,14,2
3.5,-,-,1,2.5
13.3,0.1,0.1,10.6,2.5
7.6,0.2,-,5,2.4
24.7,1.7,0.6,19.8,2.7
3.5,-,-,2.8,0.8
10.6,0.1,0.2,8.5,1.8
22.1,0.5,0.3,18.9,2.5
29.6,1.3,1.3,23.3,3.7
7.5,-,0.2,5.4,1.9
18.2,1.3,0.8,13.9,2.2
9.2,0.2,0.2,5.9,2.8
17.6,0.2,0.2,14.3,2.8
33.2,0.7,1.8,28.2,2.5
15.9,0.1,0.1,13.9,1.7
15.9,0.4,0.5,12.8,2.1
17.2,1.2,1.6,11.2,3.3
15.7,0.2,0.3,12.3,2.9
13.3,0.3,-,11,2
43,2.2,2.7,36.1,2
7.3,0.3,-,6.7,0.3
26.9,1.4,1.3,21.9,2.3
8.2,0.1,0.1,6.1,2
6,-,0.1,5.2,0.7
22.8,1,0.8,19.8,1.2
4,-,-,3,1
5.5,-,-,4.5,1
16.3,-,2,12.3,2
13.1,0.1,0.4,11.1,1.4
33.8,1.5,2.2,28,2.2
14.1,0.4,0.4,12,1.4
6.4,0.1,0.2,4.7,1.4
13.8,0.4,0.7,10.3,2.3
5.8,-,0.4,4.1,1.3
12.5,0.3,-,9.6,2.6
33.3,1.8,0.9,26.4,4.2
7.8,0.2,0.2,5.2,2.2
11,-,-,9,2
12.4,0.3,0.2,9.7,2.2
7.5,0.3,0.1,5.5,1.5
12.9,0.4,0.6,9.9,2
4.8,-,-,3.4,1.4
11.5,0.3,-,9.7,1.5
16.4,0.2,0.4,13.9,1.9
12,0.5,1.3,7.5,2.8
9,1,-,8,-
52.9,1.1,2.4,47,2.4
13.8,0.5,0.6,10.9,1.8
32.1,1.9,2.1,23.2,4.9
18.7,0.8,0.4,15.9,1.7
12.2,0.2,0.2,6.2,5.6
6.8,-,0.5,5.5,0.8
17.8,0.1,0.8,15.2,1.7
10.1,0.7,0.4,6.9,2.1
16,-,0.5,15,0.5
6,-,1,3,2
4.1,-,0.3,3.2,0.6
15,0.3,-,13,1.8
18.4,0.8,0.3,15.9,1.5
10.2,0.1,0.3,8.4,1.4
4,-,0.3,2.5,1.3
48.6,2.3,1.3,41.6,3.4
10.5,0.3,0.5,7.8,1.9
8.5,-,0.5,6.4,1.6
4.7,0.3,-,3.3,1
20.1,0.5,1,16.5,2.1
5.4,-,0.1,4.4,1
28,3,3,22,-
7,0.1,0.1,4.7,2.1
6.2,0.1,-,5.1,1
4.5,0.1,0.1,3.3,1
2,-,-,2,-
5,1,-,3,1
8,-,-,7,1
39,3.3,3.1,30.9,1.8
14.5,0.9,0.3,11.9,1.5
6,-,-,6,-
13.8,0.3,0.5,10.8,2.3
5.1,-,0.1,4.4,0.6
5.1,0.1,-,3.8,1.2
